title,link,episode_no,interviewer,speaker,transcript
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Blicken wir zunächst auf die Zahlen. Die Deutschlandkarte ist noch ziemlich rot. Trotzdem, die Todesfallzahl liegt auch heute (Stand 19.01.21) wieder unter 1000, die 7-Tage-Inzidenz. Also, über eine Woche hinweg betrachtet: Wie viele Menschen pro 100.000 Einwohner haben sich durchschnittlich neu angesteckt? Sie bewegt sich langsam nach unten. Sie liegt jetzt bei etwas mehr als 130. Kann man da vorsichtig optimistisch sein, dass sich jetzt endlich, endlich tatsächlich etwas bewegt?"
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Christian Drosten,"Ja, ich denke schon, dass diese Reduktion jetzt langsam echt ist. Gut, an einem Dienstag hängt das immer noch ein bisschen das Wochenende nach. Die Gesundheitsämter sind leider sehr überlastet, sodass wir morgen wieder etwas mehr sehen werden. Und dann zum Wochenende hin wird es hoch bleiben, aber vielleicht, wahrscheinlich sogar, bleibt es unter der Vorwoche. Man muss eher ein bisschen langfristiger schauen. Also wie lange wird es dauern, bis es einen relativ niedrigen Bereich erreicht? Und das sind dann doch mehrere Wochen, wenn man das projiziert, wie das Modellrechner ja auch tun."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Ist denn der 7-Tage-Wert da noch aussagekräftig? Oder muss man versuchen, eher einen kürzeren Zeitraum anzugucken? Wird zwischendurch auch immer mal wieder gemacht, auf vier Tage zu gucken, von Datenjournalisten zum Beispiel."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Christian Drosten,"Ja, klar. Da geht es darum, ob man entweder schnell eine Information will oder ob man eher einen ruhigeren Verlauf will, der nicht so die Schwankungen im Meldewesen abbildet. Das ist aber eher ein Detail. Die Frage ist viel mehr, das wird auch manchmal von einigen Leuten in Fachkreisen kritisiert, ob man stark auf diese Wochen-Inzidenz schauen soll oder ob es andere Werte gibt. Ich glaube, wir haben zur Genüge diskutiert, dass es sicherlich nicht darum gehen kann, die Bettenauslastung auf der Intensivstation anzuschauen. Aber wir haben beispielsweise im Sommer gesagt, bei unserer jetzigen niedrigen Inzidenz, also im Sommer lagen die Wochen-Inzidenzen mal im Bereich von zwei oder drei, da kann man gar nicht auf den R-Wert schauen. Der R-Wert schwankt so hin und her bei diesen niedrigen Zahlen und hat doch keine Aussage. Jetzt aber haben wir hohe Zahlen. Wir sind jetzt in der Zeit der Grippewelle, wo sich die Infektionen anhäufen. Wir haben in einigen Gebieten hohe Zahlen. Wenn wir jetzt sagen, hier in diesem Landkreis, da haben wir 600 auf 100.000 pro Woche, jetzt wollen wir mal auf 50 runter, dann ist das natürlich irgendwann auch frustrierend. Da sind keine Orientierungsmarken mehr. Da könnte man dann auch sagen: Lass uns mal wieder den R-Wert ins Auge fassen. Der ist doch eine konstante Orientierung. Da sieht man auch, ob es mit der Inzidenz bergab geht oder ob es konstant bleibt."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Von den Intensivstationen aus den Krankenhäusern, die man auch im Gesamtkontext immer betrachten muss, weil sich die Zahlen dort doch verzögert niederschlagen, hört man aber auch, dass es zwar eine extrem angespannte Situation ist, auch weil das Pflegepersonal natürlich über die Dauer der Zeit deutlich über die Belastungsgrenze hinaus ist, aber es scheint sich auch ein bisschen etwas zu stabilisieren. Sehen Sie das auch so?"
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Christian Drosten,"Ja, ich kann auch nur aus derselben Quelle zitieren. Es ist so, dass an vielen Orten gesagt wird: Die Belastung in der Intensivmedizin ist etwas geringer geworden. Natürlich ist das Pflegepersonal weiterhin überlastet. Deswegen ist das sicherlich kein Zustand, den man auf lange Zeit so halten will und kann."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Wir können die politische Komponente nicht ganz aus blenden. Es ist Dienstag (19.01.2021), es ist wie beim letzten Mal vor zwei Wochen. Unsere Hörer und Hörerinnen wissen wahrscheinlich schon mehr, wenn sie das hier hören, weil wir immer morgens aufzeichnen. Und wir sind damit vor dem Treffen der Ministerpräsidenten mit der Bundeskanzlerin. Aber wir wissen ein bisschen, was im Gespräch ist. Die Debatte ist munter darüber losgegangen, was für Maßnahmen man in der Pandemiebekämpfung noch ergreifen kann, wo man nachlegen oder eben auch verschärfen, verlängern muss. Das ist ein ernstes Thema. Ich kann mir das trotzdem an dieser Stelle nicht verkneifen. Bei manchen Kampfbegriffen in der Debatte durchzuckt es einen schon ein bisschen. Wenn ich „Mega-Lockdown“ lese, muss ich ein bisschen lachen. Geht Ihnen das auch so, dass das für Sie ein Begriff ist, der dem Ernst der Lage unangemessen ist?"
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Christian Drosten,"Dieser Begriff ist mir nicht so stark untergekommen. Aber ich muss schon sagen, dass der Ton auch in der Diskussion sich zwischen Wissenschaftlern polemisiert. Das ist nicht gut. Es ist fast so wie bei Leuten, die im Auto sitzen und rumschreien und anderen Verkehrsteilnehmern Sachen an den Kopf werfen, die diese dann aber gar nicht hören. Das würde unter Fußgängern nicht passieren, da würde man sich nicht mit solchen Formulierungen belegen. Das ist nicht schön, das ist nicht kollegial und das ist vor allem einer gemeinsamen Entscheidungsfindung oder auch einer Politikberatung nicht wirklich dienlich."
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Korinna Hennig,"Dann versuchen wir mal auf der Sachebene zu bleiben. Diese Polarisierung, zumindest innerhalb der Bevölkerung, hat ja auch mit unterschiedlicher Lebenssituation zu tun. Und wenn man sich – abgesehen von den Einschränkungen in der Kultur und Gastronomie, mit denen wir alle schon lange leben – die Situation mal anguckt, dann sieht es fast so aus, als wenn eine Hälfte schon im Lockdown ist, schon länger, und eine andere fast gar nicht. Es gibt offenbar Arbeitgeber, die Homeoffice explizit verbieten. Es gibt auch Leute, die nicht ins Homeoffice gehen wollen, anders als im Frühjahr, obwohl sie es vielleicht könnten, und viele Busse und Bahnen sind morgens nach wie vor voll. Das ist eines der Themen, die ganz oben auf der Agenda der Politik im Moment stehen. Ist tatsächlich Homeoffice für Sie aus wissenschaftlicher Sicht auch der Hebel, an dem es noch ein bisschen fehlt?"
"Menschen, Maßnahmen, Mutationen - Skript herunterladen",https://www.ndr.de/nachrichten/info/coronaskript262.pdf,72,Korinna Hennig,Christian Drosten,"Wir haben im Podcast schon Studien besprochen, die eindeutig gezeigt haben, dass diese Pendelmobilität, also die Mobilität im Nahbereich, im Stadtteil sehr stark korreliert mit der Infektions inzidenz. Das ist Arbeitsmobilität. Das ist nicht von der Hand zu weisen, deswegen ist das jetzt ein politisches Diskussions thema. Es ist jetzt nicht unbedingt so, dass Wissenschaftler sagen, aus wissenschaftlichen Gründen müssen jetzt bestimmte politische Maßnahmen gemacht werden. Sondern das ist schon mehr – wie ich das gerade auch ausdrückte – dass gesagt wird von Wissenschaftlern, auch in Runden der Politikberatung, ja, Mobilität ist wichtig. Ja, natürlich ist es so, dass eine bestimmte Dichte von Menschen in einem Raum für eine gewisse Zeit der Parameter ist, auf den man schauen muss. Und es ist eher so, dass die Politik und auch was ansonsten an Beratungskräften dabei ist, aber eben nicht die Wissenschaftler, dann versuchen, das umzusetzen. Natürlich muss man dann Kompromisse finden. Das ist genau das, was sich im Moment die Politik fragt. Wo ist noch was zu heben, ohne großen Schaden anzurichten? Also man sucht sinnvollerweise nach Bereichen, die man durch das Reduzieren der Personalbesetzung im Betrieb nicht stark schädigt. Aber das ist natürlich nicht einfach."
